2026-07-09 18:21:09.140 30082-30082 WindowOnBackDispatcher  com.yuki.yukihub                     W  sendCancelIfRunning: isInProgress=false callback=android.view.ViewRootImpl$$ExternalSyntheticLambda16@837e79
2026-07-09 18:21:09.141 30082-30082 DecorViewImmersiveImpl  com.yuki.yukihub                     D  onDetachedFromWindow
2026-07-09 18:21:09.143 30082-14915 BufferQueueProducer     com.yuki.yukihub                     D  [VRI[LauncherActivity]#14(BLAST Consumer)14](id:75820000000e,api:1,p:30082,c:30082) disconnect: api 1 (caller=30082)
2026-07-09 18:21:09.144 30082-30082 om.yuki.yukihub         com.yuki.yukihub                     W  Binder 0xb40000774408cee0 destroyed after setInheritRt before being parceled.
2026-07-09 18:21:09.152 30082-30082 InsetsSource            com.yuki.yukihub                     W  Has no intersection or mTmpFrame.height(), return Insets.NONE mTmpFrame.height() =0 hasIntersection =false
2026-07-09 18:21:09.152 30082-30082 InsetsSource            com.yuki.yukihub                     W  Has no intersection or mTmpFrame.height(), return Insets.NONE mTmpFrame.height() =36 hasIntersection =false
2026-07-09 18:21:09.152 30082-30082 InsetsSource            com.yuki.yukihub                     W  Has no intersection or mTmpFrame.height(), return Insets.NONE mTmpFrame.height() =152 hasIntersection =false
2026-07-09 18:21:09.152 30082-30082 InsetsSource            com.yuki.yukihub                     W  Has no intersection or mTmpFrame.height(), return Insets.NONE mTmpFrame.height() =0 hasIntersection =false
2026-07-09 18:21:09.152 30082-30082 InsetsSource            com.yuki.yukihub                     W  Has no intersection or mTmpFrame.height(), return Insets.NONE mTmpFrame.height() =0 hasIntersection =false
2026-07-09 18:21:09.152 30082-30082 InsetsSource            com.yuki.yukihub                     W  Has no intersection or mTmpFrame.height(), return Insets.NONE mTmpFrame.height() =36 hasIntersection =false
2026-07-09 18:21:09.152 30082-30082 InsetsSource            com.yuki.yukihub                     W  Has no intersection or mTmpFrame.height(), return Insets.NONE mTmpFrame.height() =152 hasIntersection =false
2026-07-09 18:21:09.153 30082-15159 BufferQueueConsumer     com.yuki.yukihub                     D  [VRI[LauncherActivity]#14(BLAST Consumer)14](id:75820000000e,api:0,p:-1,c:30082) disconnect: caller 0
2026-07-09 18:21:09.156 30082-30082 DecorView               com.yuki.yukihub                     D  updateFreeformOutlineFromActivity, inFreeform=false,inFreeformWindowMode=false
2026-07-09 18:21:09.160 30082-30082 ScrollerOp...ionManager com.yuki.yukihub                     D  registerConfigChangedListener
2026-07-09 18:21:09.165 30082-30082 ScrollerOp...ionManager com.yuki.yukihub                     D  registerConfigChangedListener
2026-07-09 18:21:09.175 30082-14915 HWUI                    com.yuki.yukihub                     D  TAG_DDRE, CanvasContext::setDdreActivities: 
2026-07-09 18:21:09.175 30082-30082 ViewRootImpl            com.yuki.yukihub                     I  com.yuki.yukihub/com.apps.LauncherActivity use first frame acceleration
2026-07-09 18:21:09.190 30082-30082 Choreographer           com.yuki.yukihub                     I  first vsync insert message into MessageQueue Head
2026-07-09 18:21:09.191 30082-30082 DecorViewImmersiveImpl  com.yuki.yukihub                     D  onAttachedToWindow. pkg: com.yuki.yukihub
